Date,Open,High,Low,Close,Volume,Symbol
2024-10-29,231.36563017470797,232.5864741436605,230.59143496071306,231.93138122558594,35417200,AAPL
2024-10-30,230.8792736886572,231.73287549326048,227.8420439394486,228.38795471191406,47070900,AAPL
2024-10-31,227.63359787833264,228.11995749798112,223.69313535160188,224.2291259765625,64370100,AAPL
2024-11-01,219.32585141181025,223.67326642200996,218.6310628621847,221.2514190673828,65276700,AAPL
2024-11-04,219.34572401852256,221.13231895883285,218.0752491010658,220.35812377929688,44944500,AAPL
2024-11-05,220.14971259990074,222.28370958768312,219.49461965793014,221.7874298095703,28111300,AAPL
2024-11-06,220.95366880237512,224.387931303672,219.54423614319148,221.06285095214844,54561100,AAPL
2024-11-07,222.95862926675593,226.18444740932767,222.8990781242877,225.78741455078125,42137700,AAPL
2024-11-08,225.72782337627459,227.20836966100222,224.97265364792685,225.5191650390625,38328800,AAPL
2024-11-11,223.5715733715174,224.26712634517858,220.0937933412938,222.80645751953125,42005600,AAPL
2024-11-12,223.1244332571579,224.15782408060912,221.94198562097503,222.80645751953125,40398300,AAPL
2024-11-13,222.58787261698694,225.2111120360391,221.34580821096,223.69082641601562,48566200,AAPL
2024-11-14,223.59146688403666,227.41701609796436,223.57158960851197,226.77114868164062,44923900,AAPL
2024-11-15,224.96268496170848,225.4793879673537,222.84621765747355,223.5715789794922,47923700,AAPL
2024-11-18,223.8199993254601,228.28149999782985,223.74050538640262,226.57241821289062,44633700,AAPL
2024-11-19,225.53901477922054,228.6988344551977,225.22105418122663,226.8307647705078,36211800,AAPL
2024-11-20,226.61216873586113,228.4702922716314,224.45594670445817,227.54620361328125,35169600,AAPL
2024-11-21,227.42695953023323,228.69883223369175,224.2770861035494,227.06924438476562,42108300,AAPL
2024-11-22,226.61216818417898,229.25528492407807,226.61216818417898,228.41067504882812,38168300,AAPL
2024-11-25,229.99059491471002,231.76922452168117,228.2815130321861,231.39163208007812,90152800,AAPL
